,symbol,historical
61,AAPL,"{'date': '2020-04-06', 'open': 250.9, 'high': 263.11, 'low': 249.38, 'close': 262.47, 'adjClose': 261.76, 'volume': 50455100.0, 'unadjustedVolume': 50455100.0, 'change': 11.57, 'changePercent': 4.611, 'vwap': 258.32, 'label': 'April 06, 20', 'changeOverTime': 0.04611}"
62,AAPL,"{'date': '2020-04-03', 'open': 242.8, 'high': 245.7, 'low': 238.97, 'close': 241.41, 'adjClose': 240.76, 'volume': 32470000.0, 'unadjustedVolume': 32470000.0, 'change': -1.39, 'changePercent': -0.572, 'vwap': 242.02667, 'label': 'April 03, 20', 'changeOverTime': -0.00572}"
63,AAPL,"{'date': '2020-04-02', 'open': 240.34, 'high': 245.15, 'low': 236.9, 'close': 244.93, 'adjClose': 244.27, 'volume': 41483500.0, 'unadjustedVolume': 41483500.0, 'change': 4.59, 'changePercent': 1.91, 'vwap': 242.32667, 'label': 'April 02, 20', 'changeOverTime': 0.0191}"
64,AAPL,"{'date': '2020-04-01', 'open': 246.5, 'high': 248.72, 'low': 239.13, 'close': 240.91, 'adjClose': 240.26, 'volume': 44054600.0, 'unadjustedVolume': 44054600.0, 'change': -5.59, 'changePercent': -2.268, 'vwap': 242.92, 'label': 'April 01, 20', 'changeOverTime': -0.02268}"
65,AAPL,"{'date': '2020-03-31', 'open': 255.6, 'high': 262.49, 'low': 252.0, 'close': 254.29, 'adjClose': 253.6, 'volume': 49250500.0, 'unadjustedVolume': 49250500.0, 'change': -1.31, 'changePercent': -0.513, 'vwap': 256.26, 'label': 'March 31, 20', 'changeOverTime': -0.00513}"
66,AAPL,"{'date': '2020-03-30', 'open': 250.74, 'high': 255.52, 'low': 249.4, 'close': 254.81, 'adjClose': 254.12, 'volume': 41994100.0, 'unadjustedVolume': 41994100.0, 'change': 4.07, 'changePercent': 1.623, 'vwap': 253.24333, 'label': 'March 30, 20', 'changeOverTime': 0.01623}"
67,AAPL,"{'date': '2020-03-27', 'open': 252.75, 'high': 255.87, 'low': 247.05, 'close': 247.74, 'adjClose': 247.07, 'volume': 51054200.0, 'unadjustedVolume': 51054200.0, 'change': -5.01, 'changePercent': -1.982, 'vwap': 250.22, 'label': 'March 27, 20', 'changeOverTime': -0.01982}"
68,AAPL,"{'date': '2020-03-26', 'open': 246.52, 'high': 258.68, 'low': 246.36, 'close': 258.44, 'adjClose': 257.74, 'volume': 63021800.0, 'unadjustedVolume': 63021800.0, 'change': 11.92, 'changePercent': 4.835, 'vwap': 254.49333, 'label': 'March 26, 20', 'changeOverTime': 0.04835}"
69,AAPL,"{'date': '2020-03-25', 'open': 250.75, 'high': 258.25, 'low': 244.3, 'close': 245.52, 'adjClose': 244.86, 'volume': 75900500.0, 'unadjustedVolume': 75900500.0, 'change': -5.23, 'changePercent': -2.086, 'vwap': 249.35667, 'label': 'March 25, 20', 'changeOverTime': -0.02086}"
70,AAPL,"{'date': '2020-03-24', 'open': 236.36, 'high': 247.69, 'low': 234.3, 'close': 246.88, 'adjClose': 246.21, 'volume': 71882800.0, 'unadjustedVolume': 71882800.0, 'change': 10.52, 'changePercent': 4.451, 'vwap': 242.95667, 'label': 'March 24, 20', 'changeOverTime': 0.04451}"
